"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @ImpossibleFoods: There's no group selfie like a White Castle Impossible™ Slider group selfie. #ImpossibleFoods https://t.co/g0BDBi7Pl0",FALSE,0,NA,2020-02-06 23:29:54,FALSE,NA,"1225562291422322689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JonnyWonderland",5,TRUE,FALSE,NA,NA
"19",".@freshandconyc now offers a fully vegan Meatball Parm Sandwich as part of their Winter Menu. It features… https://t.co/K9wwCj2CIT",FALSE,2,NA,2020-02-06 23:20:06,TRUE,NA,"1225559823439319046",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MeatlessMonday",0,FALSE,FALSE,NA,NA
"20","There's no group selfie like a White Castle Impossible™ Slider group selfie. #ImpossibleFoods https://t.co/g0BDBi7Pl0",FALSE,106,NA,2020-02-06 23:11:14,FALSE,NA,"1225557590593150976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ImpossibleFoods",5,FALSE,FALSE,NA,NA
"21","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 21:53:21,FALSE,NA,"1225537991961141248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Trina_Maria_",39,TRUE,FALSE,NA,NA
"22","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 21:51:19,FALSE,NA,"1225537481162076169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SheepConcerned",39,TRUE,FALSE,NA,NA
"23","Congrats to this week's #TastePlace sweepstakes winner brionesbites on Instagram! 

Submit for a chance to win next… https://t.co/3qcfOZWspE",FALSE,9,NA,2020-02-06 21:30:12,TRUE,NA,"1225532168325210113",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ImpossibleFoods",1,FALSE,FALSE,NA,NA
"24","Warm up with some @ImpossibleFoods Ramen and more tonight at Beer Geeks! Kitchen opens at 5pm #impossiblefoods… https://t.co/PCtfZeX0JI",FALSE,0,NA,2020-02-06 19:58:59,TRUE,NA,"1225509212890988544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","beergeekspub",0,FALSE,FALSE,NA,NA
"25","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 19:10:28,FALSE,NA,"1225497003301515265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamanporwal",39,TRUE,FALSE,NA,NA
"26","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 18:53:27,FALSE,NA,"1225492718782164992",NA,"<a href=""https://thedailypurple.com"" rel=""nofollow"">Emerging Technology Relevant app</a>","TechAggreg",39,TRUE,FALSE,NA,NA
"27","RT @ImpossibleFoods: The most important meal of the day now comes with #ImpossibleSausage made from plants! Try the Impossible™ Croissan’wi…",FALSE,0,NA,2020-02-06 18:52:46,FALSE,NA,"1225492547532939267",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GVteam",39,TRUE,FALSE,NA,NA
